EqupmentID,EquipmentName,ItemCategory,EqupmentType,ItemGrade,ItemScriptID,DAMAGE,MOVESPEED,CRITICALPERCENT,CRITICALDAMAGE,ATTACKSPEED,HP,STAMINA,DEFENCE,COUNTERJUDGEMENT
1,Equipment_1,EQUIPMENT,WEAPON,Grade1,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
2,Equipment_2,EQUIPMENT,ARMOR,Grade2,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
3,Equipment_3,EQUIPMENT,HELM,Geade3,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
4,Equipment_4,EQUIPMENT,GLOVE,Grade1,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
5,Equipment_5,EQUIPMENT,SHOES,Grade2,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
6,Equipment_6,EQUIPMENT,WEAPON,Geade3,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
7,Equipment_7,EQUIPMENT,ARMOR,Grade1,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
8,Equipment_8,EQUIPMENT,HELM,Grade2,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
9,Equipment_9,EQUIPMENT,GLOVE,Geade3,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
10,Equipment_10,EQUIPMENT,SHOES,Grade1,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
11,Equipment_11,EQUIPMENT,WEAPON,Grade2,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
12,Equipment_12,EQUIPMENT,ARMOR,Geade3,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
13,Equipment_13,EQUIPMENT,HELM,Grade1,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
14,Equipment_14,EQUIPMENT,GLOVE,Grade2,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
15,Equipment_15,EQUIPMENT,SHOES,Geade3,SCRIPTNAME_1,0,0,0,0,0,0,0,0,0
